iteration,env_steps,ep_return,ep_length,success_rate,success_rate_rolling,entropy,policy_loss,value_loss,approx_kl,sps,tx_per_agent_step,messages_per_agent_step,timeout_rate_rolling,human_death_rate,false_complete_rate,cover_under_threat,objective_dist_under_threat,comp_time,comp_compliance,comp_report,comp_command,comp_combat,comp_terminal
11,11264,9.06817,219.71429,0.57143,0.2,2.106818,-0.000443,44.707276,0.002667,1324,0.26449,0.33174,0.24444,0.57143,1.0,,,-0.01,0.01324,-0.00443,-0.01791,-0.0086,0.15748
12,12288,41.15826,174.5,1.0,0.23404,2.162831,-0.000697,29.923084,0.000806,1064,0.25723,0.32605,0.23404,0.5,1.0,,,-0.01,0.01037,-0.0044,-0.01746,-0.01098,0.11181
13,13312,1.2108,226.33333,0.33333,0.24528,2.160367,-0.002067,14.771064,0.002051,1135,0.28109,0.34641,0.20755,0.83333,0.94595,,,-0.01,0.01213,-0.00503,-0.01908,-0.0079,0.05465
14,14336,-5.759,225.66667,0.0,0.23214,2.197553,-0.063379,1.005534,0.002942,1063,0.27678,0.34006,0.19643,1.0,1.0,,,-0.01,0.00905,-0.0042,-0.01572,-0.01008,-0.00109
15,15360,3.03058,238.66667,0.33333,0.23729,2.181474,-0.000982,10.142905,0.001201,1161,0.27095,0.33544,0.18644,0.66667,1.0,,,-0.01,0.00875,-0.00345,-0.01554,-0.00856,0.0388
16,16384,5.81074,314.0,0.5,0.25397,2.129245,0.005758,11.212359,0.00046,1056,0.25368,0.32172,0.19048,0.5,1.0,,,-0.01,0.00763,-0.00395,-0.02047,-0.00187,0.0581
17,17408,-10.27098,375.0,0.0,0.25,2.180967,0.021982,1.007225,0.002002,1066,0.25828,0.33309,0.20312,1.0,1.0,,,-0.01,0.00624,-0.00498,-0.01884,-0.00523,0.0
18,18432,2.82358,364.75,0.25,0.25,2.146715,-0.002431,14.310752,0.001322,1115,0.26486,0.33255,0.23529,0.5,1.0,,,-0.01,0.0086,-0.00445,-0.02231,-0.00269,0.06094
19,19456,-8.71344,353.0,0.0,0.23944,2.175801,-0.107804,0.624332,0.002906,1009,0.26804,0.33397,0.25352,0.66667,1.0,,,-0.01,0.00667,-0.00304,-0.01783,-0.00498,-0.00035
20,20480,1.7042,353.66667,0.33333,0.24324,2.106375,-0.002831,10.521417,0.0033,1289,0.2525,0.32477,0.27027,0.66667,1.0,,,-0.01,0.00806,-0.00357,-0.01584,-0.01142,0.04298
21,21504,0.4694,341.2,0.2,0.24051,2.216298,0.04851,10.740644,0.001057,1147,0.26053,0.3199,0.27848,0.8,1.0,,,-0.01,0.00881,-0.00322,-0.01637,-0.00333,0.05202
22,22528,nan,nan,0.0,0.24051,2.224307,0.061693,1.087792,0.002393,998,0.27522,0.34399,0.27848,0.0,0.0,,,-0.01,0.00554,-0.00426,-0.01741,-0.00358,0.0
23,23552,6.07581,313.6,0.4,0.25,2.131512,-0.000271,22.619214,0.001183,1232,0.27123,0.3368,0.28571,0.4,1.0,,,-0.01,0.01052,-0.00346,-0.02308,-0.00571,0.09485
24,24576,22.12903,235.83333,0.66667,0.27778,2.134558,0.032463,39.633526,0.003608,1044,0.25062,0.32496,0.26667,0.33333,0.97674,,,-0.01,0.012,-0.00215,-0.01677,-0.01,0.20375
25,25600,29.07218,225.5,1.0,0.30851,2.10721,0.04219,29.469332,0.002041,1135,0.25796,0.32678,0.25532,0.5,1.0,,,-0.01,0.0126,-0.00277,-0.01687,-0.00601,0.18418
26,26624,22.35822,188.33333,0.66667,0.31959,2.099423,-0.112882,36.516195,0.000996,1234,0.2591,0.31627,0.24742,0.33333,1.0,,,-0.01,0.00976,-0.00356,-0.02073,-0.00602,0.11626
27,27648,7.74309,259.25,0.25,0.32,2.140192,0.0333,14.419738,0.001834,1148,0.26427,0.33478,0.26,0.75,1.0,,,-0.01,0.01063,-0.00319,-0.01882,-0.0029,0.06798
28,28672,24.18843,300.0,0.6,0.35,2.121434,-0.000447,39.982919,0.000982,1168,0.27068,0.33692,0.22,0.4,1.0,,,-0.01,0.00995,-0.00342,-0.01919,-0.00848,0.21249
29,29696,-5.35983,225.33333,0.0,0.35,2.086438,-0.002338,3.474322,0.002953,1014,0.26438,0.32924,0.2,1.0,1.0,,,-0.01,0.00755,-0.00222,-0.01869,-0.00764,-0.00105
30,30720,28.91015,163.5,0.75,0.36,2.039804,0.092908,36.455063,0.000671,1229,0.25583,0.32365,0.19,0.25,0.83333,,,-0.01,0.0129,-0.00238,-0.01895,-0.00898,0.19716
31,31744,6.03722,236.44444,0.33333,0.37,2.028561,0.053618,20.393302,0.000662,1101,0.23761,0.30192,0.19,0.44444,0.97872,,,-0.01,0.01321,-0.0021,-0.01717,-0.00914,0.1358
32,32768,25.38123,146.16667,0.66667,0.4,2.130708,0.03271,39.67817,0.000844,1163,0.24949,0.31728,0.19,0.33333,1.0,,,-0.01,0.01317,-0.00262,-0.01776,-0.01178,0.23832
33,33792,-3.90172,206.5,0.0,0.4,2.032117,-0.069474,5.06221,0.005181,1275,0.22752,0.29643,0.19,1.0,1.0,,,-0.01,0.01098,-0.00261,-0.01575,-0.01293,-0.0009
34,34816,25.98101,185.75,0.625,0.45,2.032308,0.04647,62.998317,0.00678,1430,0.23183,0.29486,0.19,0.375,1.0,,,-0.01,0.01498,-0.00334,-0.02526,-0.00478,0.40767
35,35840,28.96208,241.25,0.75,0.46,2.08454,-0.000134,33.22185,0.000837,1067,0.24173,0.30749,0.2,0.25,1.0,,,-0.01,0.01118,-0.00305,-0.01732,-0.00438,0.16594
36,36864,23.21181,196.8,0.8,0.46,2.045137,-0.044662,30.676132,0.001885,1127,0.24869,0.3157,0.2,0.4,0.93333,,,-0.01,0.01081,-0.00286,-0.02072,-0.00783,0.19205
37,37888,19.04159,249.0,0.75,0.48,2.016739,-0.001709,24.475143,0.001818,1237,0.25795,0.32151,0.21,0.25,0.96552,,,-0.01,0.01129,-0.00372,-0.02414,-0.00814,0.14626
38,38912,7.83755,253.4,0.6,0.5,1.990276,-0.091656,37.37371,0.002885,1213,0.25901,0.31952,0.22,0.6,0.96154,,,-0.01,0.01336,-0.00258,-0.02035,-0.00507,0.09728
39,39936,43.78027,142.71429,0.85714,0.53,2.115048,0.044167,51.970466,0.006887,1013,0.24522,0.30896,0.21,0.14286,0.89474,,,-0.01,0.01471,-0.00136,-0.01791,-0.00398,0.38933
40,40960,41.36189,134.66667,0.83333,0.57,2.092839,-0.01241,62.168866,0.001414,941,0.24534,0.31469,0.16,0.16667,0.77273,,,-0.01,0.01294,-0.0017,-0.01865,-0.00671,0.29995
41,41984,37.94448,156.71429,1.0,0.62,2.104864,-0.009154,47.456538,0.001151,1041,0.26685,0.33155,0.12,0.14286,1.0,,,-0.01,0.01208,-0.0034,-0.01868,-0.00403,0.35938
42,43008,38.50095,190.5,1.0,0.66,2.00077,0.019516,27.0281,0.003214,1156,0.25252,0.30658,0.11,0.25,0.89474,,,-0.01,0.01198,-0.00373,-0.01868,-0.00661,0.23671
43,44032,26.96655,206.0,0.8,0.67,1.99083,-0.000376,30.325724,0.003564,1219,0.25707,0.31406,0.09,0.2,0.9697,,,-0.01,0.01385,-0.00369,-0.01903,-0.00701,0.22505
44,45056,31.06805,163.0,0.77778,0.67,1.920109,-0.027786,69.198946,0.00738,1244,0.22408,0.28563,0.09,0.44444,0.94444,,,-0.01,0.01959,-0.00167,-0.01928,-0.00631,0.43753
45,46080,25.45923,143.85714,0.57143,0.68,1.966631,-0.001449,41.292961,0.002809,1222,0.25518,0.32399,0.07,0.57143,1.0,,,-0.01,0.01363,-0.00363,-0.01493,-0.01213,0.29099
46,47104,28.49738,176.83333,0.83333,0.7,2.028847,0.075664,33.846525,0.001668,1120,0.255,0.3089,0.06,0.33333,0.96296,,,-0.01,0.01751,-0.00333,-0.01996,-0.00558,0.26298
47,48128,55.92152,125.25,1.0,0.74,2.030707,0.005633,71.677445,0.009279,1086,0.25638,0.32501,0.05,0.125,0.9,,,-0.01,0.01844,-0.00269,-0.01853,-0.00226,0.60601
48,49152,45.05875,143.5,1.0,0.77,1.988248,-0.018868,31.817093,0.001527,1287,0.27773,0.34261,0.04,0.0,1.0,,,-0.01,0.01324,-0.00516,-0.02779,-0.00245,0.29884
49,50176,25.7615,190.0,0.71429,0.79,1.956127,-0.000816,38.862534,0.000966,1137,0.25154,0.31462,0.04,0.42857,0.95349,,,-0.01,0.01623,-0.00343,-0.02205,-0.00443,0.28025
50,51200,29.96032,185.0,0.83333,0.81,1.954404,0.001511,43.655781,0.004159,1146,0.26112,0.32625,0.05,0.5,1.0,,,-0.01,0.01652,-0.00284,-0.01981,-0.00791,0.28363
51,52224,49.76962,115.14286,1.0,0.83,1.972416,0.003634,53.217745,0.005877,1097,0.25397,0.32044,0.05,0.0,0.75,,,-0.01,0.01559,-0.00283,-0.01932,-0.00326,0.47962
52,53248,40.02105,166.8,0.8,0.84,1.990559,-0.000743,33.502345,0.000947,1078,0.25769,0.3174,0.05,0.0,1.0,,,-0.01,0.01221,-0.00469,-0.01898,-0.00143,0.27451
53,54272,36.60613,192.5,1.0,0.84,1.992396,0.022409,23.786004,0.00228,1124,0.26412,0.33025,0.05,0.25,0.95833,,,-0.01,0.0115,-0.00335,-0.02452,-0.0031,0.2138
54,55296,28.90048,231.0,0.875,0.86,1.960307,-0.000413,36.551101,0.001517,1052,0.24385,0.30662,0.04,0.125,0.96364,,,-0.01,0.01803,-0.00201,-0.02137,-0.00548,0.3443
55,56320,30.63074,115.11111,0.66667,0.85,1.935953,-0.000739,48.789879,0.000808,1028,0.2471,0.31218,0.04,0.33333,0.96,,,-0.01,0.01596,-0.00244,-0.02106,-0.00821,0.37243
56,57344,36.68567,121.66667,0.83333,0.84,1.968945,-0.085611,38.97307,0.00344,1076,0.27195,0.3347,0.04,0.16667,0.9375,,,-0.01,0.01313,-0.00331,-0.02002,-0.0053,0.30457
57,58368,52.18312,118.33333,1.0,0.84,2.024591,-0.000759,28.302105,0.001428,1108,0.31517,0.37304,0.04,0.0,0.88889,,,-0.01,0.01173,-0.00352,-0.01915,6e-05,0.21405
58,59392,34.95049,254.0,0.6,0.82,1.98644,-0.000805,28.497345,0.002558,1096,0.27904,0.33656,0.06,0.4,0.96875,,,-0.01,0.01011,-0.00286,-0.01884,-0.00426,0.25053
59,60416,-7.32423,375.0,0.0,0.81,2.027946,-0.049629,9.325448,0.007863,1298,0.28953,0.35635,0.08,0.0,1.0,,,-0.01,0.00823,-0.00659,-0.02484,-0.00258,0.0
60,61440,36.00367,249.4,1.0,0.81,1.987265,-0.001948,28.380594,0.002226,1148,0.27535,0.33069,0.08,0.0,1.0,,,-0.01,0.0123,-0.00444,-0.02433,-0.0001,0.28144
61,62464,33.02535,241.71429,0.71429,0.81,1.993012,-0.001647,29.909176,0.002061,1019,0.27648,0.32861,0.1,0.0,0.98246,,,-0.01,0.01539,-0.00269,-0.02258,-0.00111,0.31178
62,63488,36.33608,137.0,0.85714,0.83,1.941311,-0.003185,34.804365,0.001597,950,0.23942,0.29139,0.1,0.28571,0.9,,,-0.01,0.01574,-0.00171,-0.01675,-0.0027,0.3091
63,64512,47.55165,132.875,1.0,0.84,1.898247,-0.001362,38.509597,0.00092,1016,0.25174,0.31141,0.1,0.0,0.85185,,,-0.01,0.01449,-0.00179,-0.02055,-0.00553,0.47976
64,65536,37.06945,146.2,0.8,0.83,1.882407,-0.000409,38.431628,0.001341,1039,0.24598,0.29811,0.1,0.2,1.0,,,-0.01,0.01416,-0.00413,-0.02187,-0.00415,0.24593
65,66560,32.22274,197.85714,0.85714,0.82,1.830952,-0.038594,28.93431,0.002052,1195,0.22651,0.28752,0.11,0.14286,0.91837,,,-0.01,0.01619,-0.00229,-0.01829,-0.00222,0.35342
66,67584,44.37888,149.16667,1.0,0.84,1.949417,0.081014,33.155098,0.00272,971,0.24208,0.29941,0.1,0.0,0.9,,,-0.01,0.01396,-0.003,-0.0167,-0.00363,0.31108
67,68608,21.37143,157.16667,0.5,0.82,1.87919,-0.001618,36.860006,0.002562,1204,0.21248,0.26016,0.09,0.5,0.93333,,,-0.01,0.01448,-0.00337,-0.02121,-0.01134,0.21491
68,69632,23.32326,188.0,0.83333,0.81,1.861326,-0.002106,29.433236,0.001293,1178,0.23088,0.28488,0.09,0.33333,0.93182,,,-0.01,0.01571,-0.00335,-0.01523,-0.00557,0.22354
69,70656,40.06442,162.2,1.0,0.81,1.837377,-0.025081,25.090418,0.004993,1071,0.21057,0.25951,0.09,0.2,0.82609,,,-0.01,0.01564,-0.00256,-0.01956,-0.00496,0.26203
70,71680,31.7889,137.0,0.77778,0.8,1.807061,-0.001907,30.432719,0.0015,988,0.19563,0.2481,0.08,0.44444,0.95,,,-0.01,0.01603,-0.0021,-0.0185,-0.00637,0.36671
71,72704,49.77648,124.5,0.9,0.83,1.816751,0.01367,40.732879,0.002233,945,0.22059,0.26786,0.07,0.1,0.88235,,,-0.01,0.01632,-0.00175,-0.01709,0.00287,0.562
72,73728,54.33159,132.83333,1.0,0.84,1.78338,-0.001312,26.817915,0.000742,931,0.22865,0.27181,0.07,0.0,0.9,,,-0.01,0.01511,-0.00284,-0.01406,-0.00035,0.35444
73,74752,57.05728,128.77778,1.0,0.86,1.79878,0.000109,28.347444,0.001969,946,0.25466,0.30039,0.05,0.11111,0.89474,,,-0.01,0.01721,-0.00285,-0.01882,0.00149,0.57467
74,75776,42.61949,169.16667,0.83333,0.87,1.773126,-0.003191,23.821272,0.002946,909,0.24276,0.29576,0.04,0.0,0.875,,,-0.01,0.01379,-0.00261,-0.01787,0.00026,0.29264
75,76800,53.42217,108.0,1.0,0.89,1.847912,0.109306,32.722106,0.006257,934,0.22767,0.28012,0.02,0.0,0.89286,,,-0.01,0.01829,-0.00214,-0.01765,-0.00211,0.52752
76,77824,42.43251,129.66667,1.0,0.9,1.77538,-0.001879,45.59038,0.00286,1027,0.20627,0.25966,0.02,0.0,0.86792,,,-0.01,0.01661,-0.00175,-0.01725,-0.00523,0.48639
77,78848,49.29506,123.33333,1.0,0.91,1.756961,0.009657,23.500818,0.002278,966,0.21181,0.26399,0.02,0.0,0.84615,,,-0.01,0.01685,-0.00262,-0.01803,0.00012,0.52552
78,79872,52.36783,135.0,1.0,0.91,1.788314,-0.052944,25.231921,0.004752,966,0.21833,0.27366,0.02,0.0,0.88889,,,-0.01,0.01645,-0.00336,-0.01673,0.00085,0.47654
79,80896,58.40999,116.5,1.0,0.92,1.749399,0.000102,30.446102,0.002355,902,0.2132,0.26212,0.01,0.0,0.9375,,,-0.01,0.01641,-0.00304,-0.01748,0.00177,0.49849
80,81920,53.81036,117.55556,1.0,0.95,1.723066,-0.001303,20.735777,0.001593,958,0.21359,0.2577,0.01,0.0,0.88889,,,-0.01,0.01732,-0.00231,-0.01761,-0.00026,0.53865
81,82944,55.93903,100.66667,0.88889,0.95,1.708407,-0.000979,42.931036,0.001355,939,0.21408,0.27038,0.01,0.11111,0.875,,,-0.01,0.02156,-0.00297,-0.01603,-0.00028,0.55458
82,83968,55.86697,100.30769,1.0,0.98,1.694316,8.6e-05,33.234603,0.001006,908,0.20939,0.25868,0.01,0.07692,0.87931,,,-0.01,0.0199,-0.00243,-0.01745,-8e-05,0.80032
83,84992,51.3133,107.75,1.0,0.98,1.702595,0.013745,28.35225,0.002772,968,0.19961,0.25443,0.01,0.0,0.82927,,,-0.01,0.01856,-0.00169,-0.01626,-0.00352,0.47175
84,86016,38.43368,101.5,0.875,0.97,1.609577,-0.002588,31.060013,0.002899,978,0.20802,0.25341,0.01,0.125,0.85185,,,-0.01,0.01587,-0.00189,-0.01714,-0.00369,0.36656
85,87040,57.39183,109.625,1.0,0.98,1.680809,0.079171,18.64725,0.003092,1004,0.2221,0.27759,0.0,0.0,0.89474,,,-0.01,0.01804,-0.00383,-0.0183,0.00282,0.51486
86,88064,57.1842,124.2,0.9,0.97,1.639716,0.000486,23.295496,0.000981,890,0.19944,0.25338,0.01,0.0,0.86792,,,-0.01,0.02009,-0.00168,-0.01916,0.00263,0.60868
87,89088,58.59935,102.8,1.0,0.97,1.614548,-0.001345,27.51502,0.001514,906,0.19015,0.23568,0.01,0.0,0.84211,,,-0.01,0.0169,-0.00212,-0.01678,0.00059,0.61774
88,90112,53.34462,114.625,1.0,0.97,1.629634,0.055398,20.741221,0.00376,934,0.20257,0.24962,0.01,0.125,0.84615,,,-0.01,0.01849,-0.00176,-0.01777,0.0019,0.46834
89,91136,55.60722,111.6,0.9,0.96,1.627509,0.103332,28.597164,0.002541,929,0.18909,0.23814,0.01,0.1,0.89286,,,-0.01,0.01791,-0.00308,-0.0165,0.0009,0.59189
90,92160,63.91787,115.1,1.0,0.96,1.600258,0.049264,11.490715,0.002836,890,0.18904,0.23561,0.01,0.0,0.93878,,,-0.01,0.01775,-0.00323,-0.01869,0.00208,0.65633
91,93184,55.21413,123.75,1.0,0.97,1.566067,0.006101,25.186213,0.004505,936,0.19324,0.24961,0.01,0.0,0.94118,,,-0.01,0.01678,-0.00324,-0.01853,-0.00207,0.49882
92,94208,53.04864,126.125,1.0,0.97,1.568469,-1e-05,15.068621,0.002399,994,0.16742,0.216,0.01,0.25,0.85366,,,-0.01,0.01731,-0.00187,-0.01699,0.00279,0.49108
93,95232,61.06722,108.81818,1.0,0.97,1.576583,0.011786,18.126572,0.003146,903,0.17903,0.23198,0.01,0.0,0.88679,,,-0.01,0.01776,-0.00245,-0.01667,0.00082,0.70865
94,96256,62.0807,99.875,1.0,0.97,1.570735,-0.000409,22.132368,0.002179,879,0.17374,0.22456,0.01,0.0,0.91176,,,-0.01,0.01884,-0.00263,-0.01667,0.00186,0.51512
95,97280,53.73046,92.83333,1.0,0.98,1.488698,0.073339,39.826634,0.003825,918,0.14891,0.2094,0.01,0.08333,0.82979,,,-0.01,0.01708,-0.00139,-0.01876,-0.00329,0.73123
96,98304,54.18041,106.44444,1.0,0.98,1.515694,-0.022892,22.255552,0.002666,865,0.16122,0.21256,0.01,0.0,0.85714,,,-0.01,0.01581,-0.00243,-0.01601,0.00163,0.51583
97,99328,56.77663,103.8,0.9,0.98,1.513258,-0.001118,31.668023,0.001816,888,0.15225,0.1969,0.0,0.2,0.89583,,,-0.01,0.01527,-0.00091,-0.01789,-0.00061,0.60132
98,100352,54.37576,107.27273,1.0,0.98,1.489261,0.013623,32.175034,0.004754,1008,0.16381,0.21501,0.0,0.18182,0.8125,,,-0.01,0.01796,-0.00274,-0.01828,-0.0031,0.70713
99,101376,53.59704,110.2,1.0,0.99,1.513891,-0.002451,17.066177,0.003434,934,0.15565,0.20438,0.0,0.1,0.83636,,,-0.01,0.01485,-0.0011,-0.01725,0.00057,0.57796
100,102400,56.35099,118.14286,1.0,0.99,1.586374,-0.032856,17.715647,0.001648,923,0.18899,0.23059,0.0,0.0,0.88889,,,-0.01,0.01541,-0.00263,-0.0181,-0.00086,0.43887
101,103424,55.94665,129.14286,1.0,0.99,1.542222,0.139088,22.405863,0.001111,915,0.18049,0.22725,0.0,0.0,0.84848,,,-0.01,0.01383,-0.00231,-0.02096,0.00098,0.42135
102,104448,52.16685,123.0,0.875,0.98,1.584369,-0.066982,22.573726,0.004913,957,0.17256,0.21696,0.0,0.125,0.94118,,,-0.01,0.01505,-0.00176,-0.01634,-0.00032,0.45028
103,105472,54.6783,128.0,1.0,0.98,1.55456,-0.043659,24.284439,0.005534,955,0.16982,0.2174,0.0,0.22222,0.86486,,,-0.01,0.01548,-0.00141,-0.01813,-0.00222,0.56654
104,106496,50.82633,114.88889,1.0,0.98,1.564679,0.000246,23.201761,0.002467,920,0.17837,0.22517,0.0,0.0,0.77419,,,-0.01,0.01662,-0.0008,-0.01832,0.00188,0.51961
105,107520,60.46456,98.6,1.0,0.98,1.56382,-2.5e-05,15.690911,0.003581,888,0.17584,0.22795,0.0,0.0,0.84375,,,-0.01,0.01753,-0.00171,-0.01564,0.00335,0.63677
106,108544,58.68578,96.91667,1.0,0.98,1.551022,5.1e-05,31.709631,0.001173,879,0.17141,0.22551,0.0,0.08333,0.85714,,,-0.01,0.01517,-0.00106,-0.01915,-0.00176,0.73638
107,109568,50.50735,117.14286,1.0,0.98,1.580346,-0.000803,16.578517,0.001262,913,0.21027,0.26654,0.0,0.14286,0.96774,,,-0.01,0.01646,-0.00261,-0.01704,0.00121,0.39419
108,110592,59.29478,117.09091,1.0,0.99,1.634217,-0.001513,18.603064,0.002384,922,0.18514,0.23872,0.0,0.18182,0.85366,,,-0.01,0.01511,-0.00177,-0.018,0.00111,0.69354
109,111616,52.97453,113.375,0.875,0.98,1.651408,0.046817,27.217921,0.001289,915,0.19536,0.25628,0.0,0.125,0.85714,,,-0.01,0.01286,-0.00127,-0.01788,-0.00131,0.45331
110,112640,59.58803,116.0,1.0,0.98,1.699168,-0.001432,15.600097,0.002434,937,0.20364,0.25268,0.0,0.0,0.80952,,,-0.01,0.01677,-0.00194,-0.01733,0.00185,0.44423
111,113664,60.76562,115.18182,1.0,0.98,1.682469,-0.000945,12.207921,0.003827,894,0.21053,0.26475,0.0,0.0,0.80645,,,-0.01,0.01584,-0.00073,-0.01742,0.00312,0.69114
112,114688,63.4224,104.0,1.0,0.98,1.690073,-0.001306,14.086266,0.003067,902,0.22265,0.2775,0.0,0.0,0.77778,,,-0.01,0.0168,-0.00138,-0.01789,0.00198,0.46373
113,115712,63.37799,104.42857,1.0,0.99,1.734509,-0.06058,13.274628,0.006622,902,0.20804,0.26702,0.0,0.0,0.81818,,,-0.01,0.01708,-0.00236,-0.01778,0.0003,0.47699
114,116736,46.75005,157.3,0.8,0.97,1.71445,0.106061,20.245153,0.006505,893,0.19025,0.2408,0.02,0.1,0.84783,,,-0.01,0.01585,-0.00116,-0.01804,0.00168,0.51375
115,117760,53.26223,102.6,0.9,0.96,1.686603,-0.000793,29.189458,0.000527,927,0.1855,0.24452,0.02,0.1,0.82353,,,-0.01,0.01555,-0.00163,-0.01809,-0.00034,0.59537
116,118784,59.36964,116.11111,1.0,0.96,1.676864,-0.00404,19.86374,0.004848,912,0.18418,0.23301,0.02,0.11111,0.88235,,,-0.01,0.01711,-0.0018,-0.01683,-0.0005,0.5693
117,119808,63.12196,113.0,1.0,0.96,1.648551,-0.023621,15.679633,0.002243,871,0.1976,0.24443,0.02,0.0,0.84615,,,-0.01,0.01375,-0.00162,-0.01675,0.00239,0.58491
118,120832,44.2603,136.25,1.0,0.96,1.678357,-0.000711,30.963549,0.002459,957,0.19956,0.25424,0.02,0.125,0.88095,,,-0.01,0.01549,-0.00243,-0.01823,-0.00139,0.4134
119,121856,46.49617,122.83333,0.83333,0.95,1.707605,6e-05,27.290335,0.001886,933,0.19684,0.24653,0.02,0.16667,0.91304,,,-0.01,0.01176,-0.00246,-0.01968,-0.00317,0.30595
120,122880,56.01359,150.25,1.0,0.95,1.728993,-0.03982,12.033826,0.001477,884,0.19311,0.23897,0.02,0.0,0.9,,,-0.01,0.01479,-0.00187,-0.01763,0.0029,0.4712
121,123904,61.95746,126.28571,1.0,0.96,1.738194,-0.056579,20.193718,0.00148,949,0.18559,0.23059,0.02,0.0,0.82759,,,-0.01,0.01144,-0.00147,-0.01631,-0.00176,0.46886
122,124928,42.51061,147.71429,1.0,0.96,1.681466,-0.000456,16.565476,0.001426,982,0.19367,0.23644,0.02,0.0,0.81579,,,-0.01,0.0131,-0.00093,-0.0175,0.00047,0.3527
123,125952,48.29,154.28571,0.85714,0.95,1.628277,0.009479,25.928732,0.002657,1013,0.17898,0.2222,0.02,0.14286,0.86207,,,-0.01,0.01517,-0.00216,-0.01736,-0.0018,0.41206
124,126976,61.92332,119.22222,1.0,0.95,1.672375,-0.000257,18.427917,0.002351,1006,0.17496,0.22159,0.02,0.0,0.85294,,,-0.01,0.0145,-0.00188,-0.0164,0.00197,0.64781
125,128000,45.86033,153.42857,0.85714,0.94,1.677871,-0.043067,27.955951,0.00117,1010,0.18084,0.22692,0.03,0.14286,0.88095,,,-0.01,0.01281,-0.00097,-0.0177,-0.00077,0.38766
126,129024,49.58394,119.44444,1.0,0.95,1.663865,-0.000224,27.06378,0.001151,971,0.18009,0.22358,0.02,0.0,0.82143,,,-0.01,0.01684,-0.00172,-0.01814,-0.00047,0.50442
127,130048,52.72405,124.0,1.0,0.96,1.659634,-0.035166,24.163068,0.005136,918,0.18111,0.23009,0.01,0.125,0.85714,,,-0.01,0.01508,-0.00131,-0.01703,-0.00207,0.46428
128,131072,55.13434,125.375,1.0,0.97,1.657351,0.017816,11.060124,0.002074,936,0.1841,0.22558,0.01,0.25,0.84375,,,-0.01,0.01525,-0.00144,-0.0173,0.00265,0.47699
129,132096,58.26801,124.75,1.0,0.97,1.76052,0.041459,20.513909,0.005074,964,0.18565,0.22511,0.01,0.0,0.72727,,,-0.01,0.01438,-0.00036,-0.01804,4e-05,0.49727
130,133120,47.03825,133.0,1.0,0.97,1.679095,9e-05,24.979605,0.001351,963,0.18907,0.23528,0.01,0.0,0.875,,,-0.01,0.01544,-0.00128,-0.01701,-0.00114,0.43033
131,134144,56.57392,121.375,1.0,0.97,1.720963,-0.000908,15.99688,0.000906,911,0.19474,0.24358,0.01,0.0,0.87097,,,-0.01,0.017,-0.00183,-0.01787,-0.00012,0.48624
132,135168,54.34931,117.83333,1.0,0.98,1.769751,0.015251,19.484346,0.003253,906,0.19598,0.23768,0.01,0.0,0.75,,,-0.01,0.01424,-0.00093,-0.01703,-0.0001,0.34837
